

M/M/1, Lambda=1.0, Rho=0.90, WarmupJobs=  5000000, AnalysisJobs= 10000000, K=10

 k simuT[k] ourT[k] ourUp[k] x2Avg[k] ourOff[k]% upOff[k]%

1 21181542.334, 21181542.334, 21181542.334,   0.000,   0.000
   2 21184545.743, 21183045.638, 21183045.638, 3006.609,  -0.007,  -0.007
   3 21184590.476, 21183686.672, 21184047.841, 1923.101,  -0.004,  -0.003
   4 21185452.659, 21184005.540, 21184799.494, 1275.471,  -0.007,  -0.003
   5 21185498.761, 21184210.262, 21185400.816, 1023.610,  -0.006,  -0.000
   6 21185546.830, 21184380.592, 21185901.917, 1021.985,  -0.006,   0.002
   7 21185546.830, 21184521.222, 21186331.433, 984.411,  -0.005,   0.004
   8 21185804.782, 21184638.330, 21186707.259, 936.856,  -0.006,   0.004
   9 21185824.502, 21184740.237, 21187041.326, 917.163,  -0.005,   0.006
  10 21185825.921, 21184824.367, 21187341.987, 841.307,  -0.005,   0.007

 k simuT[k] ourT[k] ourUp[k] x2Avg[k] ourOff[k]% upOff[k]%

